price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
15.000TL,"ertaş,tan harika konumda full deniz ve havuz manzaralı kiralık daire",65 M2,1+1,5,5.Kat,Kombi Doğalgaz,Boş,75 M2,5-10,900 TL,Evet,2,20 M2
16.000TLarrow_downward%9,bbsbrokerdan alaçam bulvarında deniz ve şehir manzaralı lüks 2+1,88 M2,2+1,7,1.Kat,Yerden Isıtma,Boş,100 M2,0 (Yeni),,Hayır,,
12.000TL,hi̇sar’dan gazei̇pzeycanin yanin da 1+1 full eşyali ki̇ralik dai̇re,50 M2,1+1,5,2.Kat,Kombi Doğalgaz,,55 M2,3,,Hayır,1,
13.500TL,samsun i̇lkadim kişla mahallesi̇nde ebeveyn banyolu cam balkonlu 3+1 ki̇ralik sifir dai̇re,145 M2,3+1,8,8.Kat,Kombi Doğalgaz,Boş,155 M2,1,,Hayır,,
25.000TL,enes emlak şefaatti̇n sağdiş'tan ki̇ralik 3+1 dai̇re,115 M2,3+1,5,3.Kat,Kombi Doğalgaz,Boş,125 M2,21 Ve Üzeri,,Hayır,,
10.000TL,kiralık eşyalı 1+1 daire,60 M2,1+1,3,3.Kat,Kombi Doğalgaz,,65 M2,1,,Hayır,,
9.000TL,atakum sahi̇l tarafinda ki̇ralik 2+1 lüks dai̇re,86 M2,2+1,5,4.Kat,Yerden Isıtma,,106 M2,0 (Yeni),,Hayır,,
10.000TL,atakum cumhuri̇yet mahallesi̇ eşyali kiralik 1+1,45 M2,1+1,3,2.Kat,Kombi Doğalgaz,Eşyalı,55 M2,4,,Hayır,1,
8.500TL,atakum körfezde kiralik esyali 1++,44 M2,1+1,5,3.Kat,Kombi Doğalgaz,Eşyalı,55 M2,1,,Hayır,,
10.000TL,sahibinden kiralık daire,90 M2,3+1,5,Düz Giriş (Zemin),Kombi Doğalgaz,,110 M2,5-10,75 TL,Hayır,1,
10.000TL,emlak kent'ten salon mutfak ayrı 2+1 kiralık daire,88 M2,2+1,5,1.Kat,Kombi Doğalgaz,Boş,98 M2,2,,Hayır,,
4.250.000TL,emlak kent'ten sıfır 2+1 kiralık daire,88 M2,2+1,3,1.Kat,Kombi Doğalgaz,Boş,98 M2,0 (Yeni),,Hayır,,
6.000TL,atakum körfezde 1+1 ki̇ralik dai̇re,45 M2,1+1,5,2.Kat,Kombi Doğalgaz,,55 M2,0 (Yeni),,Hayır,,
15.000TL,hi̇sar ‘dan yeni̇mahallede süper konum da fuşş eşyali 3+1 ki̇ralik dai̇re,138 M2,3+1,4,Yüksek Giriş,Kombi Doğalgaz,,140 M2,5-10,,Hayır,,
12.000TL,100.yil bulvarinin 1 sokak altinda kismi eşyali ki̇ralik 2+1 dai̇re,100 M2,2+1,8,3.Kat,Kombi Doğalgaz,,110 M2,11-15,,Hayır,,
7.000TL,"ki̇ralik 3,5+1( 4+1 ) dai̇re havuzlu deni̇z manzarali güvenli̇kli̇",170 M2,4+1,16,16.Kat,Merkezi (Pay Ölçer),Boş,220 M2,11-15,1800 TL,Evet,3,34 M2
10.500TL,samsun atakum cumhuri̇yet mahallesi̇nde mükemmel lokasyonda ara kat doğalgazli 3+1 ki̇ralik dai̇re,130 M2,3+1,4,3.Kat,Kombi Doğalgaz,Boş,140 M2,21 Ve Üzeri,,Hayır,,
12.000TL,sahibinden kiralık daire,130 M2,3+1,10,6.Kat,Merkezi Doğalgaz,,160 M2,11-15,500 TL,Evet,2,30 M2
13.000TL,körfez de cam balkonlu eşyali ki̇ralik 2+1 dai̇re,90 M2,2+1,5,5.Kat,Kombi Doğalgaz,,95 M2,5-10,,Hayır,,
22.000TL,eşyali ki̇ralik 1+1 tramvayin altinda atakum yeni̇mahalle,55 M2,1+1,6,3.Kat,Kombi Doğalgaz,Eşyalı,58 M2,4,300 TL,Hayır,1,
10.000TL,samsun i̇lkadim rasathane mahallesi̇nde asansörlü eşyasiz mükemmel lokasyonda 3+1 ki̇ralik dai̇re,120 M2,3+1,8,4.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,,
13.750TL,atakum sahi̇l tarafinda i̇ki̇ banyo ve balkonlu ki̇ralik sifir 2+1,85 M2,2+1,5,2.Kat,Yerden Isıtma,,115 M2,0 (Yeni),,Hayır,,
11.250TL,mi̇a'dan i̇lkadim i̇lyasköy'de ki̇ralik 2+1 dai̇re,80 M2,2+1,3,3.Kat,Sobalı,Boş,100 M2,21 Ve Üzeri,50 TL,Hayır,1,
25.000TL,sahibinden kiralık daire canik,90 M2,2+1,6,1.Kat,Kombi Doğalgaz,,100 M2,3,,Hayır,,
